path,lossy,source,content_type,frame_reduction_class,ssim_control,ssim_cell,comp_control,comp_cell,d_ssim,d_comp,divergence_score,flag
/Users/lachlants/Documents/GIFs/Email/https___i1.cmail19.com_ei_i_CB_C4C_5B2_csimport_240932_SugimotoThePostDigitalAds_V01_970x25.163742.gif,40,real,,none,1.0,0.9755171991219824,1.0,0.8537873954928166,-0.024482800878017574,-0.14621260450718343,0.12172980362916586,
/Users/lachlants/Documents/GIFs/Email/https___mona-edms.s3.mona.net.au_Once+Upon+a+Time+in+Shaolin+EDM_Namedropping_WuTang_eDM_Announce_1.gif,40,real,,none,1.0,0.8854760413639081,1.0,0.7644776711804453,-0.11452395863609188,-0.2355223288195547,0.12099837018346282,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_88adb327dcabde30998542a7d_images_8e172835-7e1d-a4d9-0445-244425430cd5.gif,40,real,,none,1.0,0.9567888254255236,1.0,0.8358479830341968,-0.04321117457447643,-0.16415201696580317,0.12094084239132674,
/tmp/giflab_divergence_synth/single_pixel_anim.gif,40,synthetic,micro_detail,none,1.0,0.9977626265348148,1.0,0.8770432885847357,-0.002237373465185155,-0.12295671141526432,0.12071933795007916,verdict
/Users/lachlants/Documents/GIFs/Website/681b910e58e074aff61bfc44_68747470733a2f2f75736572696d672d6173736574732e637573746f6d6572696f6d61696c2e636f6d2f696d616765732f636c69656e742d656e762d39393639372f313734343231393633353339325f74696d65626f78696e67253230332e302532306769665f31395f303.gif,60,real,,none,1.0,0.8651575109859012,1.0,0.7447429981800707,-0.1348424890140988,-0.2552570018199293,0.12041451280583049,
/Users/lachlants/Documents/GIFs/Email/https___images.vialoops.com_cmm3upxu001xd0ixmruu1cz0n_cmm3xclqe01mm0izl7g78x3kq.gif,20,real,,none,1.0,0.9736202378990512,1.0,0.8533874385436568,-0.026379762100948834,-0.14661256145634316,0.12023279935539433,
/tmp/giflab_divergence_synth/complex_gradient.gif,60,synthetic,complex_gradient,none,1.0,0.8839167384124167,1.0,0.764132862226559,-0.11608326158758331,-0.23586713777344104,0.11978387618585773,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_VnK4p8_images_034b3b62-efa8-4bd6-bda5-8eba1501eaa7.gif,20,real,,none,1.0,0.9234793046883756,1.0,0.8037848650785665,-0.07652069531162442,-0.1962151349214335,0.11969443960980908,
/Users/lachlants/Documents/GIFs/Email/http___i4.cmail19.com_ei_i_C4_7A8_07B_csimport_SWF24_Digital_AnimatedProgrammatic_300x250_.160214.gif,40,real,,dedup,1.0,0.92878157188221,1.0,0.8106597959412445,-0.07121842811779,-0.1893402040587555,0.11812177594096551,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_U85BQH_images_82a45bf0-224d-4916-8fa9-1abc15aee5c3.gif,20,real,,none,1.0,0.9710843171639628,1.0,0.8532329630731239,-0.028915682836037182,-0.1467670369268761,0.11785135409083891,
/tmp/giflab_divergence_synth/single_pixel_anim.gif,20,synthetic,micro_detail,none,1.0,0.9977621432247576,1.0,0.8801571459442157,-0.002237856775242353,-0.11984285405578432,0.11760499728054197,verdict
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_9284751802d775d29b8491886_images_8ab89c3f-d68f-79b9-50ec-ceb97c79950f.gif,20,real,,none,1.0,0.9391772148125084,1.0,0.8216138058505273,-0.060822785187491624,-0.17838619414947265,0.11756340896198103,
/Users/lachlants/Documents/GIFs/Email/http___i4.cmail19.com_ei_i_C4_7A8_07B_csimport_SWF24_Digital_AnimatedProgrammatic_300x250_.160214.gif,20,real,,dedup,1.0,0.933270316629918,1.0,0.8158110412104762,-0.066729683370082,-0.1841889587895238,0.11745927541944179,
